ID,Genero,Casado,Edad,Graduado,Experiencia_laboral,Gastoscore,Family_Size,Generacion,Ingresos_anuales_brutos,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Profesion_Adminin/Servicios,Profesion_Arte,Profesion_Empresa/Finanzas,Profesion_Otros,Profesion_Salud,Profesion_Tecnico/Ing,Zona_Centro,Zona_Este,Zona_Islas,Zona_Norte,Zona_Sur,Campanna_0,Campanna_1,Campanna_3,Campanna_4,Campanna_5,cluster,PC1,PC2
CLI10007,1,1,39,1,1,1,4,2,27934,1077,0,0,596,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,1.1755787046961172,1.0786622436899826
CLI10008,1,1,30,1,0,0,2,2,29611,1123,0,0,439,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,2.096369068679948,-0.7156760964115765
CLI10009,0,1,56,1,2,0,1,1,23165,661,0,0,269,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,-0.4648411271360816,-0.6913020518112833
CLI1001,1,1,54,1,2,0,1,1,31813,1013,0,0,124,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,-0.3708176814002921,-0.7575801967651306
CLI10010,0,1,57,1,2,0,1,1,65881,857,1,0,100,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,-1.2291902212663857,-1.155211808169453
CLI10011,1,0,58,1,2,0,1,1,98016,583,1,1,111,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3,-1.7023962032868876,-1.2396860839075017
CLI10012,1,1,47,1,2,1,2,1,118920,622,1,1,299,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,-1.8868907328292972,-0.165385012857371
CLI10013,1,1,46,1,2,0,2,1,110986,1033,1,1,353,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,-1.2959746696048338,-1.0688282624442955
CLI10014,1,0,40,1,1,0,1,2,118745,985,1,0,594,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,-0.2064177316244921,-1.792190891366217
CLI10015,1,0,40,1,1,0,2,2,28101,1537,0,0,213,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1.4673937682535705,-0.6187586147295339
CLI10016,0,0,44,1,2,0,1,1,41542,847,1,0,481,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,-0.6776647107341869,-1.2384114701888669
CLI10017,1,1,52,1,2,1,3,1,86337,1717,2,0,315,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,-1.5119646465536538,-0.0718757756578942
CLI10018,1,0,33,0,1,0,2,2,23343,1307,0,0,363,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,1.5952828881339884,-0.6361224755578225
CLI10019,0,1,58,1,2,0,1,1,120481,1737,1,0,336,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,-1.5365738768644364,-1.6443069461657964
CLI1002,0,0,56,1,2,0,1,1,33444,1209,0,0,407,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,-0.3839437595937668,-0.8925473467321162
CLI10020,1,1,50,1,2,1,2,1,63085,994,1,0,58,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,-1.2038281887022226,0.1003916783343673
CLI10021,1,0,36,1,1,0,5,2,18101,686,0,0,51,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1.6856491125540412,0.995878567699311
CLI10022,0,0,44,1,2,0,2,1,44724,732,1,0,447,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,-0.6473004001873137,-0.7628693980271389
CLI10023,0,1,40,1,1,0,1,2,56314,156,1,0,463,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0.1730610812492924,-1.3110452241159831
CLI10024,1,0,35,0,1,0,4,2,25008,1974,0,0,316,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,4,1.9859143783598736,0.1590924398558505
CLI10025,0,1,56,1,2,0,2,1,22001,1756,0,0,580,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0.033932933675994,-0.5566051258652478
CLI10026,0,0,54,1,2,0,1,1,21769,642,0,0,493,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,-0.4226953053001026,-0.7681300162908749
CLI10027,1,1,89,0,2,0,1,0,118924,1267,3,1,378,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,-3.7704886636349766,-1.9385110634334743
CLI10028,1,1,79,1,2,1,4,0,90739,74,2,0,129,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,-3.3013493891707166,0.9615585921198893
CLI10029,0,0,77,1,2,0,2,1,123905,798,1,0,114,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,-2.262344787603352,-0.8549906837457731
CLI1003,1,0,44,1,2,0,2,1,117230,1307,1,1,124,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,-1.199049538274252,-1.080079743614714
CLI10030,1,0,23,0,0,0,3,3,15394,2202,0,1,304,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3.5276787612572957,-0.4831455461436319
CLI10031,1,0,23,0,0,0,5,3,22448,1719,0,1,382,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.4784581660375595,0.4645887975316619
CLI10032,0,1,45,0,2,1,4,1,86899,1123,0,0,542,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,-0.7533479010502011,0.9930441008716382
CLI10033,0,0,54,0,2,0,1,1,112072,955,3,0,389,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,-2.3608013611867413,-2.09407897128479
CLI10034,0,0,56,0,2,0,1,1,102706,955,3,0,316,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,-2.303489185121115,-2.0190402907017737
CLI10035,1,1,31,0,0,1,5,2,30641,1606,0,0,394,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.221915001367221,1.4014323935298978
CLI10036,1,0,41,1,1,0,2,2,74453,1054,1,0,449,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0.3878015078770175,-1.1039698123282755
CLI10038,1,0,21,0,0,0,4,3,21922,1892,0,1,359,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3.4932009165375386,-0.0233236676115315
CLI10039,0,0,35,0,1,0,3,2,29858,1836,0,1,389,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,1.773253827912879,-0.3146248682745252
CLI10040,0,1,56,0,2,0,1,1,116712,1482,3,1,120,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,-2.248595599912392,-2.1166009989738463
CLI10041,1,1,29,0,0,0,2,2,18405,2651,0,0,53,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2.8282513628902834,-0.8411485339780712
CLI10042,1,1,67,0,2,0,1,1,81561,818,3,0,468,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,-2.40343823829635,-1.902790326794173
CLI10043,0,1,56,1,2,1,4,1,35364,759,0,0,95,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-0.5685053868959085,1.493875473752433
CLI10044,0,1,50,1,2,1,3,1,96083,896,2,0,347,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,-1.8720424888232068,0.0286220900647859
CLI10045,1,1,32,1,1,2,2,2,18234,1997,0,0,519,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4,1.2510775540549686,0.856671764045109
CLI10046,1,1,52,0,2,0,5,1,48556,622,0,0,353,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,-0.2427199977199752,0.9779401412586136
CLI10047,1,0,28,1,0,0,2,2,28126,2099,0,1,378,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,4,2.523484294250154,-0.8909130145443688
CLI10048,1,0,44,0,2,0,5,1,81077,2066,0,0,585,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.1154772443329573,0.4333815212280983
CLI10049,1,0,50,1,2,0,1,1,51599,1619,1,1,321,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,-0.6388596770531231,-1.3527312502360835
CLI1005,0,1,81,1,2,0,1,0,22520,1697,0,0,220,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,-1.2812777831025608,-0.6790571177351136
CLI10050,1,1,35,1,1,1,2,2,21382,1767,0,0,588,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,1.3883076172817512,0.0452740880754154
CLI10051,1,1,42,1,2,0,3,2,90912,2066,0,0,46,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0.4810454522460484,-0.4260160523743784
CLI10052,0,0,42,1,2,0,2,2,56181,732,1,0,526,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,-0.1305025448266017,-0.9338897144488996
CLI10053,0,1,53,1,2,0,3,1,70540,1013,2,0,55,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3,-1.2733836123184807,-0.6019728493490702
CLI10054,0,0,78,1,2,0,1,1,113998,74,1,0,414,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,-2.5698688453085587,-1.22237899675552
CLI10055,0,1,51,1,2,0,3,1,50710,857,0,0,264,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-0.3589910957946773,0.0387181786719522
CLI10056,0,1,51,1,2,0,2,1,86652,935,1,1,361,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,-1.1912811218580472,-0.9237783010658522
CLI10058,1,1,47,0,2,0,3,1,125707,1697,4,0,484,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,-2.223014024662178,-1.7582594498258677
CLI10059,0,0,42,1,2,0,4,2,41471,1836,0,0,597,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0.9997242600017698,0.0982857195651533
CLI1006,1,0,30,1,0,0,2,2,24574,1514,0,1,168,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,2.3122190704614067,-0.6775361890515014
CLI10060,1,0,28,1,0,0,4,2,20959,1754,0,0,466,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.678047981663887,0.0877357074827612
CLI10061,0,1,51,1,2,0,4,1,74075,1209,2,0,426,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,-1.1105840631717463,-0.3390699247835385
CLI10062,0,0,31,1,0,0,3,2,28041,1445,0,0,158,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,2.330412739832941,-0.2161455851924021
CLI10063,0,0,45,1,2,0,4,1,109478,1238,0,0,161,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,-0.5967832631301854,0.1710444306840199
CLI10064,0,0,35,1,1,0,5,2,26148,179,0,0,130,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1.431713041402643,1.0296724574044442
CLI10065,0,0,23,0,0,0,4,3,13024,203,0,0,485,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.9123710107308223,0.3160420165516799
CLI10067,1,0,30,0,0,0,5,2,25282,1307,0,0,288,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2.534913672141406,0.6831796585500979
CLI10068,1,1,44,1,2,1,2,1,34194,1698,0,1,171,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-0.1329794944527246,0.3223175066588475
CLI10069,0,1,75,0,2,0,1,1,53833,1111,0,1,398,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3,-1.1032607433795003,-0.8724234508795854
CLI1007,1,1,77,1,2,2,2,1,74519,681,1,0,350,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,-2.4536127089427886,0.9671604572041164
CLI10070,0,0,28,0,0,0,7,2,19814,1374,0,0,492,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2.86347370149338,1.5234082551347614
CLI10071,1,0,31,0,0,0,4,2,24129,939,0,0,379,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.277168372318889,0.2794948504487978
CLI10072,1,0,31,0,0,0,8,2,30178,847,0,0,76,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2.616936986288698,2.1954736155747723
CLI10073,1,0,30,0,0,0,3,2,28894,732,0,0,105,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,2.087357373994052,-0.0644791850946699
CLI10075,1,1,51,0,2,0,9,1,50742,1267,0,0,254,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.4202979406661868,2.689188128133974
CLI10076,0,0,36,0,1,0,4,2,23367,1399,0,0,495,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4,1.756412546818372,0.2228918207591003
CLI10077,0,1,44,1,2,1,3,1,108678,663,0,0,246,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,-1.2185686258609585,0.6330099845298385
CLI10078,0,1,53,0,2,1,7,1,110010,1052,0,0,198,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-0.8875635707030097,2.426446351482681
CLI10079,1,1,46,0,2,2,5,1,74824,1561,0,0,213,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,-0.6933790355204562,2.3648840480011777
CLI1008,0,1,68,1,2,0,2,1,61865,779,1,0,335,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,-1.3934414854749335,-0.6990774998873929
CLI10080,1,0,62,1,2,0,1,1,65149,1424,1,1,117,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,-1.1362300683392583,-1.2478186542254968
CLI10081,0,0,56,1,2,0,1,1,80564,1033,1,0,506,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3,-1.3257336394442638,-1.399112476213588
CLI10082,0,0,30,1,0,0,1,2,24531,1629,0,0,262,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,2.2439552846291724,-1.1874990565165462
CLI10083,0,0,28,1,0,0,3,2,22954,1754,0,1,370,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2.558052830480152,-0.3424299352391018
CLI10084,0,1,56,0,2,2,2,1,82472,818,3,0,381,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,-2.7013388857419565,0.1944432668215722
CLI10085,0,1,29,1,0,1,2,2,18414,303,0,1,247,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1.6200884527682955,0.3908051943062174
CLI10086,0,0,39,1,1,0,1,2,23732,847,0,0,250,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,4,1.178575200833024,-0.934908758197334
CLI10088,1,0,33,0,1,0,3,2,18298,847,0,0,519,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,1.5754590535590751,-0.122174796290357
CLI10089,0,0,45,1,2,0,1,1,91130,663,1,0,288,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,-1.2931326102318912,-1.3458957117045331
CLI1009,1,0,41,1,1,0,1,2,100722,156,1,0,95,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,-0.3073181876538078,-1.3719316225400513
CLI10090,1,1,46,1,2,0,3,1,39822,115,0,0,197,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-0.3872314052274084,0.233862737965643
CLI10091,0,1,44,1,2,2,5,1,65803,1307,0,0,577,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,-0.6642599094557262,2.319330773487854
CLI10092,1,0,40,1,1,0,1,2,82317,1744,1,1,270,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,4,0.4874719650341204,-1.6723869903327502
CLI10093,0,0,43,1,2,0,1,2,36678,1928,1,1,294,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0.405561925596237,-1.4564531210900098
CLI10094,1,1,44,1,2,2,3,1,121189,1146,4,0,400,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,-2.964535807076573,0.0524057323885899
CLI10095,0,1,44,1,2,1,2,1,59561,1238,1,0,245,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3,-0.9421264436577018,-0.0247154980037927
CLI10096,1,0,31,1,0,0,6,2,28964,686,0,1,379,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.341508589758459,1.2182299365475742
CLI10097,0,0,34,1,1,0,1,2,20958,1008,0,1,376,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1.3813277934542,-1.0211324276606848
CLI10098,1,0,45,1,2,0,1,1,91295,1652,1,0,396,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,-0.93900923285108,-1.5803611582939527
CLI10099,0,0,31,1,0,0,5,2,21062,1698,0,0,358,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2.695066218350454,0.6041729098530457
CLI101,1,1,33,0,1,1,3,2,26010,1169,0,1,152,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4,1.3010174465215063,0.7406164360241131
CLI1010,0,0,44,0,2,0,3,1,82413,709,0,1,128,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,-0.5764531943839891,-0.0542291117100856
CLI10100,1,0,33,1,1,0,1,2,22697,2043,0,0,448,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,1.7620786796519676,-1.2636283084241702
CLI10101,0,0,33,1,1,0,1,2,22806,1008,0,0,134,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1.4016817859136512,-0.9498580712242544
CLI10102,0,0,42,1,2,0,2,2,42794,893,1,0,474,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0.0767906352317472,-0.889685825717715
CLI10103,1,1,47,1,2,0,1,1,115634,818,1,0,395,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,-1.5570637449537243,-1.511110502383312
CLI10104,1,0,32,1,1,0,1,2,19515,1192,0,0,543,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,1.502251518904809,-1.1183094167248826
CLI10105,0,0,33,1,1,0,3,2,24037,1859,0,0,129,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1.9105623898988544,-0.2129002286363416
CLI10106,1,1,30,1,0,0,2,2,30553,1813,0,1,108,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,2.3612662820832706,-0.7420799099528363
CLI10107,0,1,53,1,2,1,2,1,112595,1287,1,0,353,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,-1.7243047929527786,-0.2614365255011331
CLI10108,0,0,56,1,2,0,1,1,42569,759,1,0,498,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,-1.0148961531551193,-1.1769015740891575
CLI10109,0,0,53,1,2,0,1,1,129312,974,1,0,188,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,-1.780430082415571,-1.5025900227467768
CLI1011,1,0,52,1,2,0,1,1,79139,1658,1,0,452,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,-0.9797833974732874,-1.516420015452465
CLI10110,0,0,31,1,0,0,1,2,21533,1974,0,0,504,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2.362674038707785,-1.3222669206372664
CLI10111,0,0,44,1,2,0,1,1,86268,1146,1,0,351,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,-1.0430224412094125,-1.4470175555855518
CLI10112,1,1,56,1,2,0,2,1,91677,896,1,1,222,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,-1.3727382531640462,-0.8670484702476278
CLI10113,0,1,40,0,1,0,2,2,49599,1468,0,0,416,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1.1962061769417405,-0.7687692474068711
CLI10114,0,0,56,1,2,0,1,1,67106,759,1,0,56,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,-1.2511183375952233,-1.1303681506351428
CLI10115,1,1,50,1,2,2,4,1,67996,7,2,1,137,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,-2.1094577061741844,1.6876935557599193
CLI10116,1,0,44,1,2,0,1,1,109040,1261,1,1,218,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,-1.2383070748213345,-1.522691577680447
CLI10117,1,0,44,1,2,0,1,1,125899,1629,1,1,199,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,-1.2842927267595747,-1.6623977548934032
CLI10118,1,1,45,1,2,0,2,1,108619,1606,1,0,492,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,-1.0448183704886196,-1.2249829026046306
CLI10119,1,1,47,1,2,1,4,1,98845,1306,2,1,306,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,-1.5707914551652948,0.3905935706813356
CLI1012,1,1,57,1,2,1,4,1,117511,1091,2,0,154,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,-2.085471134741355,0.4501741975385821
CLI10121,1,0,25,0,0,0,4,3,31975,1926,0,0,431,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3.2946536049825217,-0.0805545031789791
CLI10122,0,0,34,0,1,0,3,2,21526,893,0,0,527,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,4,1.5325165612160192,-0.1435675086901964
CLI10123,0,1,46,1,2,0,2,1,126327,1404,1,0,539,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,3,-1.3379517213915184,-1.273552726288281
CLI10124,1,1,67,0,2,0,1,1,108904,1248,3,0,170,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,-2.5216572750146207,-2.003693777531874
CLI10125,0,1,50,1,2,0,1,1,44584,1639,1,0,311,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3,-0.5549979046238738,-1.3227651374350295
CLI10126,0,1,69,1,2,0,1,1,39911,16,1,1,301,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,-1.56299333183739,-0.8906876644272828
CLI10127,1,1,95,0,2,0,1,0,42398,642,0,1,230,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,-2.2256393223972704,-0.4959758718352822
CLI10128,0,1,74,0,2,2,3,1,87994,1013,0,1,398,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,-1.9416112187781136,1.5697741831655552
CLI10129,1,1,78,0,2,2,3,1,56726,955,0,0,122,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,-1.7041433325439368,1.830855397648677
CLI1013,0,1,63,1,2,1,2,1,108660,1502,1,1,374,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,-1.848136036713484,-0.2489743051645163
CLI10130,0,1,47,0,2,0,2,1,67201,1404,0,1,358,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,-0.3499180966650773,-0.6469565429971524
CLI10132,1,1,52,0,2,0,2,1,53670,1404,0,0,464,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,-0.3325359501771352,-0.6022377171600244
CLI10133,0,1,58,1,2,1,4,1,114237,117,2,1,139,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,-2.430987475381594,0.6674821641759323
CLI10134,0,1,40,0,1,1,2,2,22365,1468,0,0,143,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4,1.1752892758514957,0.2771821704101134
CLI10135,1,1,39,0,1,0,1,2,30486,1054,0,1,399,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4,1.1716995834986772,-1.0569576759659882
CLI10136,0,1,53,1,2,2,4,1,22129,1697,0,0,264,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-0.3524557817709319,2.126089834687771
CLI10137,0,1,66,1,2,0,3,1,105751,955,2,0,207,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,-2.002563461493153,-0.7371439723292778
CLI10138,0,1,50,0,2,0,1,1,60408,1443,0,1,172,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3,-0.4278079999219504,-1.001914751247112
CLI10139,0,1,46,0,2,0,2,1,53037,994,0,0,186,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,-0.3115153430368955,-0.4489850578770825
CLI1014,1,0,41,1,1,0,3,2,44266,133,0,0,521,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0.8372861932169386,-0.0576665245168569
CLI10140,0,1,98,1,2,0,1,0,113338,955,1,0,72,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,-3.301770768407553,-1.100459294745031
CLI10141,0,0,25,0,0,0,2,3,29804,2823,0,1,121,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3.458319899854964,-1.051316572027049
CLI10142,1,1,51,1,2,0,1,1,120379,1737,1,0,577,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,3,-1.3806078384117375,-1.759079676167908
CLI10143,1,0,24,0,0,0,4,3,16208,1719,0,0,144,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3.432483076306147,0.1239195583840886
CLI10144,0,0,33,0,1,0,7,2,20208,179,0,1,378,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,1.73788481781753,1.8700095011098845
CLI10145,1,1,64,1,2,0,1,1,95401,1717,1,0,366,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,-1.4210237577099352,-1.5145896748851098
